,time,c_numerical,c_analytical,simID,label,times_thresh,c_thresh
0,0.0,1.018,1.018,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
1,144.0,2.4266390397277935e-05,2.3440354755143145e-05,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
2,288.0,1.6514664778098222e-05,1.1720177377571572e-05,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
3,432.0,1.565416564147428e-05,7.813451585047717e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
4,576.0,1.5548475417072952e-05,5.860088688785786e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
5,720.0,1.553532088731158e-05,4.68807095102863e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
6,864.0,1.553368090102774e-05,3.906725792523858e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
7,1008.0,1.5533476399984378e-05,3.3486221078775925e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
8,1152.0,1.5533450898696827e-05,2.930044344392893e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
9,1296.0,1.5533447718675754e-05,2.6044838616825718e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
10,1440.0,1.5533447322126584e-05,2.344035475514315e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
11,1584.0,1.553344727267738e-05,2.13094134137665e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
12,1728.0,1.5533447266511363e-05,1.953362896261929e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
13,1872.0,1.5533447265746177e-05,1.8031042119340883e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
14,2016.0,1.5533447265667728e-05,1.6743110539387962e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
15,2160.0,1.5533447265667728e-05,1.5626903170095431e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
16,2304.0,1.5533447265667728e-05,1.4650221721964465e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
17,2448.0,1.5533447265667728e-05,1.3788443973613617e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
18,2592.0,1.5533447265667728e-05,1.3022419308412859e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
19,2736.0,1.5533447265667728e-05,1.2337028818496394e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
20,2880.0,1.5533447265667728e-05,1.1720177377571575e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
21,3024.0,1.5533447265667728e-05,1.116207369292531e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
22,3168.0,1.5533447265667728e-05,1.065470670688325e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
23,3312.0,1.5533447265667728e-05,1.019145858919267e-06,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
24,3456.0,1.5533447265667728e-05,9.766814481309646e-07,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
25,3600.0,1.5533447265667728e-05,9.376141902057259e-07,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
26,3744.0,1.5533447265667728e-05,9.015521059670442e-07,A1,"$D^{\text{glu/w}}$, 2D",[3.0000e-02 3.3000e-01 3.3150e+00 3.3155e+01 0.0000e+00 0.0000e+00],[1.018e-01 1.018e-02 1.018e-03 1.018e-04 1.018e-05 1.018e-06]
