Species;AA;Pmax (%);? (h);d (-);RMSE;M;N
Swelling;;;;;;;
A. niger (5000);Ala;"93.28 [92.05;94.51] a";"5.27 [5.15;5.39] a";"2.83 [2.66;3.00] a";26;7;190
A. niger (40000);Ala;"76.71 [75.85;77.57] b";"5.43 [5.33;5.53] a";"3.08 [2.91;3.25] a";19;190;1181
A. niger (5000);Arg;"25.28 [12.87;37.69] a";"18.00 [3.31;32.69] a";"1.21 [0.84;1.57] a";13;7;214
A. niger (40000);Arg;"12.05 [5.57;18.52] a";"18.00 [4.70;31.30] a";"1.47 [0.98;1.97] a";8;36;1282
A. niger (5000);Pro;"95.50 [95.22;95.78] a";"3.13 [3.10;3.15] a";"4.08 [3.96;4.20] a";11;16;389
A. niger (40000);Pro;"89.42 [88.97;89.87] b";"3.41 [3.36;3.45] b";"3.99 [3.80;4.17] a";16;110;1216
;;;;;;;
Germ tube formation;;;;;;;
A. niger (5000);Ala;"80.47 [78.71;82.23] a";"10.06 [9.88;10.24] a";"7.11 [6.28;7.94] a";43;7;190
A. niger (40000);Ala;"56.89 [55.67;58.11] b";"10.67 [10.49;10.84] b";"6.93 [6.21;7.65] a";27;190;1181
A. niger (5000);Arg;"5.50 [4.89;6.12] a";"9.91 [8.94;10.88] a";"4.89 [2.77;7.00] a";11;7;214
A. niger (40000);Arg;"5.61 [3.71;7.50] a";"18.00 [13.68;22.32] b";"3.05 [2.26;3.84] a";3;36;1282
A. niger (5000);Pro;"80.09 [78.13;82.05] a";"7.84 [7.62;8.06] a";"5.45 [4.68;6.21] a";52;16;389
A. niger (40000);Pro;"63.59 [63.35;63.84] b";"7.92 [7.89;7.96] a";"8.19 [7.94;8.43] b";8;110;1216
